min_dist_zillow_napa,zillow_index
8720.531377,222
82.63130612,223
10367.55478,224
5739.820957,225
4859.628315,226
483.7892244,227
3681.818566,228
4123.121998,229
9584.481016,230
10549.36809,231
16043.69621,232
5307.420909,233
5922.413443,234
7303.826832,235
394.3715974,236
21407.50228,237
364.9067245,238
11118.3389,239
8213.056364,240
17794.29806,241
5642.292438,242
3732.912469,243
13501.39679,244
5703.738175,245
11635.18646,246
3678.359783,247
7703.662552,248
4926.749166,249
228.4372095,250
5661.081891,251
1055.3297,252
1748.336362,253
13415.99063,254
3398.796876,255
5684.566597,256
4590.574236,257
4162.830267,258
15559.67194,259
1002.236033,260
21536.02835,261
5691.585594,262
3079.792431,263
7110.889632,264
177.7930231,265
9872.971462,266
4757.536205,267
820.01191,268
5486.746645,269
13580.53065,270
3754.797471,271
19169.34549,272
4526.811871,273
4710.705424,274
3106.138561,275
4232.653002,276
5706.361834,277
8314.262267,278
12277.67017,279
11957.99972,280
1561.726403,281
687.3375703,282
47.53662692,283
17151.8789,284
11083.67293,285
4443.976571,286
8022.471897,287
3837.695778,288
6732.603258,289
228.0937969,290
13350.28449,291
5681.428346,292
7707.946299,293
18728.3441,294
15499.10234,295
1242.120894,296
14534.4471,297
3240.861951,298
16562.26704,299
14858.40456,300
9725.635682,301
12320.58453,302
382.560775,303
10363.23091,304
6128.899286,305
10616.00027,306
8184.977755,307
4012.173597,308
4026.736035,309
17927.06802,310
9378.69832,311
5215.367427,312
17462.24221,313
4180.361832,314
776.2052425,315
4288.854962,316
16659.19428,317
12323.45493,318
23348.8862,319
9809.117596,320
3853.794609,321
12257.00636,322
6567.139522,323
4422.187363,324
10678.78982,325
5634.991256,326
20442.25155,327
7697.450582,328
25526.75724,329
8896.627654,330
4732.754053,331
2743.342455,332
870.7115636,333
4185.76276,334
6403.711933,335
10609.53529,336
6748.297259,337
6901.101096,338
5910.288009,339
3620.275621,340
4775.058763,341
19806.01764,342
3921.619274,343
8246.109117,344
252.1852744,345
4582.996062,346
2616.192426,347
212.1310755,348
4897.990297,349
5025.272302,350
3657.887731,351
19760.17886,352
5605.005667,353
15139.71533,354
12321.36478,355
4382.091433,356
9013.454741,357
21617.73091,358
550.7019255,359
3218.582474,360
2042.06505,361
2204.219045,362
12616.00425,363
2295.044414,364
14815.15581,365
17214.92369,366
14680.1054,367
664.2551644,368
17132.69512,369
9686.323582,370
10444.10483,371
7352.244722,372
10389.26807,373
20110.51045,374
734.4138474,375
10422.19544,376
10410.49327,377
17048.23841,378
451.8888321,379
15650.15038,380
1806.440152,381
25266.21171,382
16257.12406,383
13417.04438,384
120.9715521,385
9200.976779,386
11737.1468,387
1494.886733,388
9075.419301,389
14791.46331,390
7173.590701,391
24495.22782,392
730.8467096,393
973.7013909,394
386.1653175,395
540.1384027,396
806.0328189,397
640.1518114,398
1547.387525,399
202.2110718,400
11054.39413,401
11831.32606,402
9209.194235,403
4707.126229,404
7258.602321,405
6464.809474,406
11248.4583,407
4252.778334,408
3383.105776,409
4814.908477,410
15122.40054,411
16780.74918,412
15912.82553,413
165.9360593,414
11006.39089,415
22265.7549,416
478.8354014,417
15916.37852,418
873.8356439,419
2663.631238,420
18642.29609,421
1320.841148,422
17104.64586,423
21807.24729,424
11223.77952,425
11470.74576,426
